obsID,precinct,zone,group,mail.pp,phone.pp,lit.pp,text.pp,applied,mail.apply,phone.apply,lit.apply,text.apply,voted,mail.voted,phone.voted,lit.voted,text.voted
200,East Nottingham West,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
201,London Grove S,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
202,London Grove S,3,5,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
203,Oxford W,3,7,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
204,London Grove S,3,4,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
205,New London,3,4,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
206,London Grove S,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
207,London Grove S,3,8,N,Y,Y,N,B,X,X,X,X,N,N,N,N,N
208,Oxford W,3,10,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
209,New London,3,4,N,N,N,N,B,X,X,X,X,N,N,N,N,N
210,Londonderry,3,7,Y,N,N,Y,B,X,X,X,X,mail,X,X,X,X
211,New London,3,10,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
212,London Grove S,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
213,London Grove S,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
214,Oxford W,3,2,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
215,New London,3,5,Y,Y,N,N,B,X,X,X,X,mail,X,X,X,X
216,New London,3,5,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
217,Lower Oxford W,3,2,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
218,New London,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
219,New London,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
220,London Grove S,3,7,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
221,Lower Oxford W,3,10,N,N,Y,Y,B,X,X,X,X,polls,X,X,X,X
222,Lower Oxford W,3,10,N,N,Y,N,B,X,X,X,X,polls,X,X,X,X
223,Oxford W,3,4,N,N,N,N,B,X,X,X,X,N,N,N,N,N
224,London Grove S,3,8,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
225,London Grove S,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
226,Oxford W,3,2,N,Y,N,N,B,X,X,X,X,N,N,N,N,N
227,New London,3,4,N,N,N,N,B,X,X,X,X,N,N,N,N,N
228,New London,3,2,N,Y,N,N,B,X,X,X,X,N,N,N,N,N
229,New London,3,2,N,N,N,N,B,X,X,X,X,N,N,N,N,N
230,London Grove S,3,2,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
231,London Grove S,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
232,Londonderry,3,10,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
233,London Grove S,3,9,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
234,London Grove S,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
235,Lower Oxford W,3,7,Y,N,N,Y,B,X,X,X,X,mail,X,X,X,X
236,Londonderry,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
237,Londonderry,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
238,Lower Oxford W,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
239,Londonderry,3,6,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
240,London Grove S,3,8,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
241,New London,3,4,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
242,Oxford W,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
243,Londonderry,3,4,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
244,Lower Oxford W,3,8,N,Y,Y,N,B,X,X,X,X,mail,X,X,X,X
245,Londonderry,3,2,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
246,Oxford W,3,4,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
247,London Grove S,3,4,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
248,Lower Oxford W,3,7,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
249,London Grove S,3,8,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
250,Oxford W,3,8,N,Y,Y,N,B,X,X,X,X,mail,X,X,X,X
251,New London,3,8,N,Y,N,N,B,X,X,X,X,N,N,N,N,N
252,London Grove S,3,2,N,N,N,N,B,X,X,X,X,N,N,N,N,N
253,New London,3,1,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
254,Lower Oxford W,3,4,N,N,N,N,B,X,X,X,X,N,N,N,N,N
255,London Grove Ch,3,5,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
256,London Grove Ch,3,5,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
257,London Grove S,3,5,Y,Y,N,N,B,X,X,X,X,mail,X,X,X,X
258,New London,3,7,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
259,London Grove Ch,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
260,Londonderry,3,2,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
261,Londonderry,3,2,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
262,London Grove S,3,9,N,N,N,N,B,X,X,X,X,N,N,N,N,N
263,London Grove S,3,9,N,N,N,N,B,X,X,X,X,N,N,N,N,N
264,London Grove S,3,5,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
265,Londonderry,3,8,N,N,N,N,B,X,X,X,X,N,N,N,N,N
266,New London,3,3,N,N,N,N,B,X,X,X,X,N,N,N,N,N
267,London Grove S,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
268,Oxford W,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
269,Oxford W,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
270,New London,3,7,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
271,Lower Oxford W,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
272,Lower Oxford W,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
273,London Grove S,3,10,N,N,Y,Y,B,X,X,X,X,mail,X,X,X,X
274,Londonderry,3,8,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
275,Londonderry,3,3,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
276,Londonderry,3,3,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
277,Londonderry,3,3,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
278,Londonderry,3,7,Y,N,N,Y,B,X,X,X,X,N,N,N,N,N
279,London Grove S,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
280,Lower Oxford W,3,9,N,Y,N,Y,B,X,X,X,X,N,N,N,N,N
281,Lower Oxford W,3,9,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
282,New London,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
283,New London,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
284,New London,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
285,London Grove S,3,7,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
286,New London,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
287,London Grove S,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
288,Lower Oxford W,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
289,London Grove S,3,2,N,N,N,N,B,X,X,X,X,N,N,N,N,N
290,New London,3,7,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
291,London Grove S,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
292,New London,3,6,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
293,New London,3,6,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
294,London Grove S,3,10,N,N,Y,Y,B,X,X,X,X,mail,X,X,X,X
295,London Grove S,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
296,London Grove S,3,2,N,N,N,N,B,X,X,X,X,N,N,N,N,N
297,New London,3,5,Y,Y,N,N,B,X,X,X,X,N,N,N,N,N
298,Londonderry,3,6,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
299,Londonderry,3,6,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
300,Londonderry,3,10,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
301,Londonderry,3,2,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
302,Londonderry,3,3,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
303,London Grove S,3,5,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
304,Oxford W,3,10,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
305,New London,3,5,Y,Y,N,N,B,X,X,X,X,mail,X,X,X,X
306,New London,3,3,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
307,New London,3,3,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
308,New London,3,2,N,Y,N,N,B,X,X,X,X,N,N,N,N,N
309,New London,3,2,N,N,N,N,B,X,X,X,X,N,N,N,N,N
310,London Grove S,3,9,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
311,New London,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
312,London Grove S,3,9,N,Y,N,N,B,X,X,X,X,N,N,N,N,N
313,Oxford W,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
314,New London,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
315,London Grove S,3,5,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
316,New London,3,7,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
317,London Grove S,3,3,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
318,New London,3,5,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
319,London Grove S,3,9,N,Y,N,Y,B,X,X,X,X,mail,X,X,X,X
320,Oxford W,3,3,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
321,Oxford W,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
322,London Grove S,3,4,N,N,N,N,B,X,X,X,X,N,N,N,N,N
323,New London,3,9,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
324,New London,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
325,New London,3,6,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
326,Londonderry,3,3,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
327,London Grove S,3,9,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
328,Oxford W,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
329,New London,3,9,N,Y,N,Y,B,X,X,X,X,mail,X,X,X,X
330,Londonderry,3,2,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
