"","VanID","mail.itt","phone.itt","lit.itt","text.itt","precinct","zone","group","mail.pp","phone.pp","lit.pp","text.pp","applied","mail.apply","phone.apply","lit.apply","text.apply","voted","mail.voted","phone.voted","lit.voted","text.voted","age","sex"
"3651",5032703,"N","Y","N","N","West Grove 1",3,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3652",5033761,"N","Y","N","N","Westtown 1",6,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3653",5033774,"N","N","Y","Y","Penn",3,10,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3654",5033781,"Y","N","N","N","Westtown 3",6,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3655",5033811,"Y","N","N","Y","Penn",3,7,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3656",5033819,"Y","N","N","N","Penn",3,1,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3657",5036715,"N","Y","N","N","Elk",3,2,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N",42,"F"
"3658",5037256,"Y","N","N","N","London Grove S",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3659",5037259,"Y","N","Y","N","London Grove Ch",3,6,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3660",5038008,"N","Y","N","Y","Penn",3,9,"N","Y","N","N","N","N","N","N","N","polls","N","N","N","N",54,"M"
"3661",5038561,"N","N","N","Y","Thornbury 2",6,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3662",5040485,"Y","Y","N","N","Westtown 4",6,5,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3663",5040486,"N","N","Y","Y","East Nottingham East",3,10,"N","N","Y","Y","N","N","N","N","N","N","N","N","N","N",54,"F"
"3664",5040521,"N","N","N","Y","Westtown 5",6,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3665",5041687,"Y","N","N","Y","Birmingham 2",6,7,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3666",5042489,"Y","N","N","N","London Grove S",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3667",5043415,"Y","Y","N","N","Westtown 2",6,5,"Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",70,"M"
"3668",5044084,"Y","N","N","Y","Londonderry",3,7,"Y","N","N","Y","N","N","N","N","N","polls","N","N","N","N",48,"M"
"3669",5044490,"N","Y","Y","N","London Grove Ch",3,8,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3670",5044991,"N","N","Y","N","Franklin",3,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3671",5048332,"Y","N","N","N","W Fallowfield",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3672",5048951,"Y","Y","N","N","London Grove Ch",3,5,"Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",45,"F"
"3673",5050469,"N","N","Y","N","Penn",3,3,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3674",5052979,"N","Y","N","Y","New London",3,9,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",64,"F"
"3675",5053186,"N","Y","N","Y","Thornbury 2",6,9,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3676",5053465,"Y","N","N","Y","Lower Oxford W",3,7,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3677",5053868,"N","N","N","Y","Oxford W",3,4,"N","N","N","N","A","Y","Y","Y","Y","mail","Y","Y","Y","Y",56,"M"
"3678",5054157,"N","Y","N","N","London Grove S",3,2,"N","N","N","N","B","X","X","X","X","N","N","N","N","N",NA,NA
"3679",5056060,"N","Y","N","N","Westtown 2",6,2,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3680",5063157,"Y","N","Y","N","Penn",3,6,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3681",5064083,"Y","Y","N","N","London Grove Ch",3,5,"Y","N","N","N","B","X","X","X","X","mail","X","X","X","X",61,"F"
"3682",5064860,"Y","N","Y","N","Upper Oxford",3,6,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3683",5065296,"Y","N","N","Y","East Nottingham West",3,7,"Y","N","N","Y","N","N","N","N","N","polls","N","N","N","N",65,"M"
"3684",5067195,"Y","Y","N","N","East Nottingham East",3,5,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3685",5068164,"N","Y","Y","N","Penn",3,8,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N",55,"F"
"3686",5069665,"N","Y","N","Y","Westtown 1",6,9,"N","Y","N","N","B","X","X","X","X","mail","X","X","X","X",60,"M"
"3687",5070941,"Y","Y","N","N","Thornbury 2",6,5,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3688",5071965,"N","N","N","Y","Franklin",3,4,"N","N","N","Y","B","X","X","X","X","mail","X","X","X","X",58,"F"
